,match,coef_match,food_cat,definition
2,gin,-0.589667408,alcoholic beverages,strong liquor flavored with juniper berries
9,spread,-0.522870329,baking goods,process or result of distributing or extending over a wide expanse of space
14,celery,-0.500798508,vegetables,widely cultivated herb with aromatic leaf stalks that are eaten raw or cooked
16,peaches,-0.499155219,fruits,cultivated in temperate regions
26,treat,-0.4679684,sweets,something considered choice to eat
27,pickles,-0.466124742,vegetables,vegetables (especially cucumbers) preserved in brine or vinegar
34,mozzarella,-0.438722075,dairy,mild white Italian cheese
49,smoked,-0.395272957,,"inhale and exhale smoke from cigarettes, cigars, pipes"
80,cocktails,-0.340809728,alcoholic beverages,a short mixed drink
85,cheddar,-0.333931566,dairy,a village in southwestern England where cheddar cheese was first made
97,molasses,-0.324518204,sweets,thick dark syrup produced by boiling down juice from sugar cane; especially during sugar refining
101,beer,-0.323003707,alcoholic beverages,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
111,drank,-0.313424688,beverages,take in liquids
140,avocados,-0.293839827,vegetables,a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed
167,cocoa,-0.280987049,beverages,a beverage made from cocoa powder and milk and sugar; usually drunk hot
178,treats,-0.274349842,sweets,something considered choice to eat
206,cheeseburgers,-0.266655202,fast foods,a hamburger with melted cheese on it
226,jello,-0.259265195,sweets,fruit-flavored dessert (trade mark Jell-O) made from a commercially prepared gelatin powder
235,donut,-0.255272494,confectioneries,a small ring-shaped friedcake
244,guacamole,-0.253811599,snack foods,a dip made of mashed avocado mixed with chopped onions and other seasonings
278,croissant,-0.243965496,confectioneries,very rich flaky crescent-shaped roll
288,sour,-0.241697717,fats and oils,a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
299,cranberries,-0.237872764,fruits,any of numerous shrubs of genus Vaccinium bearing cranberries
317,mint,-0.234408834,herbs and spices,(often followed by `of') a large number or amount or extent
345,chowder,-0.228843523,soups,a thick soup or stew made with milk and bacon and onions and potatoes
354,beets,-0.227672192,vegetables,biennial Eurasian plant usually having a swollen edible root; widely cultivated as a food crop
363,veal,-0.225905445,meats,meat from a calf
367,brie,-0.225181588,dairy,soft creamy white cheese; milder than Camembert
371,grape,-0.224346688,fruits,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters
416,okra,-0.216826243,vegetables,long green edible beaked pods of the okra plant
420,quail,-0.21560871,poultry,flesh of quail; suitable for roasting or broiling if young; otherwise must be braised
