u,u_AH,u_DD,u_TA,u_avg,m,m_AH,m_DD,m_TA,m_avg,diff_AH,diff_DD,diff_TA,diff_avg,r,r_AH,r_DD,r_TA,r_avg
1075648513,0.006060606,0.03030303,0.012121212,0.016161616,21720967,0.011284256,0.031703385,0.032240731,0.025076124,-0.00522365,-0.001400355,-0.020119519,-0.008914508,1000715179,0.032894737,0.056140351,0.04254386,0.043859649
110478080,0.032062392,0.06932409,0.047660312,0.049682265,229151913,0.009090909,0.045454545,0.009090909,0.021212121,0.022971483,0.023869545,0.038569403,0.028470143,100360219,0.024156601,0.05331112,0.045397751,0.040955158
16243371,0.003508772,0.021052632,0.021052632,0.015204678,18875363,0.029850746,0.057569296,0.05010661,0.045842217,-0.026341974,-0.036516665,-0.029053978,-0.030637539,100553577,0.04090194,0.072889355,0.067121133,0.060304143
6146052,0.034135241,0.052015605,0.053315995,0.046488947,14278956,0.02611276,0.069436202,0.049851632,0.048466864,0.008022481,-0.017420597,0.003464363,-0.001977918,100785763,0.031866464,0.065250379,0.047040971,0.048052605
10346502,0.007692308,0.007692308,0.015384615,0.01025641,1058668250,0.008830022,0.024282561,0.028697572,0.020603385,-0.001137714,-0.016590253,-0.013312956,-0.010346975,101098692,0.032773781,0.068745004,0.045563549,0.049027445
111790090,0.008077544,0.021001616,0.017770598,0.015616586,130902468,0.011235955,0.052434457,0.033707865,0.032459426,-0.003158411,-0.031432841,-0.015937267,-0.01684284,1011811424,0.00149925,0.013493253,0.013493253,0.009495252
17142292,0.015717092,0.048330059,0.03654224,0.033529797,14604449,0.021567814,0.045209457,0.0410618,0.035946357,-0.005850722,0.003120602,-0.00451956,-0.00241656,1011819318,0.029352227,0.055668016,0.055668016,0.046896086
15974415,0.020568928,0.043326039,0.034573304,0.032822757,562240550,0.015334572,0.044144981,0.026951673,0.028810409,0.005234355,-0.000818942,0.007621631,0.004012348,1013873191,0.04009434,0.068396226,0.05581761,0.054769392
10102802,0.016243655,0.039593909,0.033840948,0.029892837,791898,0.017632242,0.057094878,0.034424853,0.036383991,-0.001388587,-0.01750097,-0.000583906,-0.006491154,1015798885,0.033862434,0.058201058,0.046031746,0.046031746
14502915,0.029497451,0.043699927,0.048798252,0.04066521,246033158,0.030890569,0.040749261,0.046664476,0.039434768,-0.001393118,0.002950667,0.002133776,0.001230442,1016478392,0.042857143,0.065898618,0.06359447,0.057450077
16494614,0.013533835,0.026566416,0.033082707,0.024394319,9448482,0.019338044,0.048716995,0.038676088,0.035577042,-0.005804209,-0.022150579,-0.005593381,-0.011182723,101656619,0.034168565,0.055971363,0.052717214,0.047619048
14104599,0.039624609,0.049356969,0.054570733,0.04785077,7651482,0.016791045,0.044029851,0.037313433,0.032711443,0.022833564,0.005327118,0.017257301,0.015139328,101798894,0.011789182,0.056865465,0.044382802,0.037679149
16568344,0.018115942,0.046497585,0.030193237,0.031602254,244818597,0.012060302,0.036180905,0.023115578,0.023785595,0.006055641,0.01031668,0.007077659,0.00781666,10224842,0.009803922,0.023809524,0.019607843,0.01774043
