users,tweets,show,rocauc,rec,prec,most_similar,mood,list_friends,label,filter,f1,collect_tweets,collect,benchmark,acc,<users_dir>,<user_ids_file>,<track_file>,<settings_file>,<output_tweets>,<output_dir>,<labeled_tweets>,<input_tweets>,<input_dir>,<friends_dir>,-u,-p,-m,--top-features,--stopwords,--roc,--reduce-func,--proba,--no-rt,--n-folds,--n-examples,--min-df,--liwc,--k-features,--help,--features-func,--emoticons,--each,--count,--clf-options,--clf,--binary,--begin-line
False,False,False,0.679041159953,0.407168950647,0.573045318159,False,True,False,False,False,0.471583694158,False,False,True,0.876782521633,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.0,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.726595029598,0.545386397904,0.490271061488,False,True,False,False,False,0.512750008861,False,False,True,0.859038952061,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.25,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.679041159953,0.407168950647,0.573045318159,False,True,False,False,False,0.471583694158,False,False,True,0.876782521633,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.5,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.761292683695,0.705901930959,0.38478655909,False,True,False,False,False,0.496390194141,False,False,True,0.802706262366,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.1,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.655356282622,0.346946146431,0.602749636597,False,True,False,False,False,0.435395255897,False,False,True,0.879463157644,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.64,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.743987878683,0.601582593459,0.463435321651,False,True,False,False,False,0.520076238003,False,False,True,0.848476721734,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.19,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.756566306614,0.673720638595,0.405521841617,False,True,False,False,False,0.504357823463,False,False,True,0.817917590407,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.12,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.562019062855,0.132129592427,0.727976190476,False,True,False,False,False,0.219470172565,False,False,True,0.87382714725,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.98,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.63715742423,0.301967623077,0.631137457862,False,True,False,False,False,0.403079124699,False,False,True,0.880585949605,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.75,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
False,False,False,0.751326238067,0.638509222605,0.434004657953,False,True,False,False,False,0.513881208653,False,False,True,0.834254094257,None,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,None,False,False,False,True,None,None,None,0.15,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,None,logistic-reg,False,0
