users,tweets,show,rocauc,rec,prec,mood,list_friends,label,filter,f1,collect_tweets,collect,benchmark,acc,<user_ids_file>,<track_file>,<settings_file>,<output_tweets>,<output_dir>,<labeled_tweets>,<input_tweets>,<input_dir>,-u,-p,-m,--top-features,--stopwords,--roc,--reduce-func,--proba,--no-rt,--no-TA,--no-DD,--no-AH,--n-folds,--n-examples,--min-df,--liwc,--k-features,--help,--features-func,--emoticons,--each,--count,--clf-options,--clf,--binary,--begin-line
False,False,False,0.788106409719,0.729032258065,0.660803059935,True,False,False,False,0.690829402726,False,False,True,0.813425925926,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.0,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.7582843888,0.879878371232,0.492483806737,True,False,False,False,0.630761612659,False,False,True,0.706018518519,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.25,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.788106409719,0.729032258065,0.660803059935,True,False,False,False,0.690829402726,False,False,True,0.813425925926,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.5,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.672535626721,0.967530407192,0.382960839121,True,False,False,False,0.548636206025,False,False,True,0.545833333333,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.1,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.773160905726,0.644738233739,0.7279854628,True,False,False,False,0.681046934545,False,False,True,0.828240740741,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.64,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.728852287321,0.918852459016,0.443662341414,True,False,False,False,0.597773297611,False,False,True,0.647222222222,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.19,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.682573468309,0.954547858276,0.392690805565,True,False,False,False,0.55632416211,False,False,True,0.565740740741,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.12,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.63323834019,0.285906927552,0.858971359523,True,False,False,False,0.426879074982,False,False,True,0.782407407407,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.98,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.758011428022,0.591142252776,0.76581552379,True,False,False,False,0.66361590202,False,False,True,0.82962962963,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.75,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.706417205217,0.936805922792,0.416535392689,True,False,False,False,0.576330380777,False,False,True,0.607407407407,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.15,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.642003303413,0.982205182443,0.359576930537,True,False,False,False,0.52636837897,False,False,True,0.495833333333,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.06,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.787431407831,0.716023268112,0.673803439934,True,False,False,False,0.692144821086,False,False,True,0.818055555556,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.52,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.769731400276,0.633342147012,0.73594989964,True,False,False,False,0.677319626321,False,False,True,0.828240740741,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.67,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.751489900898,0.88313061872,0.482092847744,True,False,False,False,0.622924487656,False,False,True,0.694907407407,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.24,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.787912531678,0.711158117398,0.6809496152,True,False,False,False,0.693861749309,False,False,True,0.820833333333,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.53,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
