users,tweets,show,rocauc,rec,prec,mood,list_friends,label,filter,f1,collect_tweets,collect,benchmark,acc,<user_ids_file>,<track_file>,<settings_file>,<output_tweets>,<output_dir>,<labeled_tweets>,<input_tweets>,<input_dir>,-u,-p,-m,--top-features,--stopwords,--roc,--reduce-func,--proba,--no-rt,--no-TA,--no-DD,--no-AH,--n-folds,--n-examples,--min-df,--liwc,--k-features,--help,--features-func,--emoticons,--each,--count,--clf-options,--clf,--binary,--begin-line
False,False,False,0.744598360877,0.627300738477,0.41737598678,True,False,False,False,0.498410079521,False,False,True,0.83024691358,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.0,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.732485829595,0.782748493337,0.285376141594,True,False,False,False,0.416826187527,False,False,True,0.699074074074,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.25,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.744598360877,0.627300738477,0.41737598678,True,False,False,False,0.498410079521,False,False,True,0.83024691358,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.5,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.610969147107,0.902809608692,0.172314508065,True,False,False,False,0.288598908898,False,False,True,0.401543209877,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.1,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.738298030856,0.577254901961,0.474347657028,True,False,False,False,0.516410957599,False,False,True,0.855401234568,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.64,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.702833925347,0.827147950089,0.241939832044,True,False,False,False,0.373459790826,False,False,True,0.616975308642,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.19,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.626956372178,0.878869365928,0.181215409654,True,False,False,False,0.299675126726,False,False,True,0.446759259259,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.12,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.605481735283,0.228737373737,0.665417175417,True,False,False,False,0.332680468087,False,False,True,0.87962962963,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.98,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.709309891751,0.492247686954,0.509401248344,True,False,False,False,0.495786609212,False,False,True,0.86712962963,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.75,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.662218583601,0.863428826076,0.201620475516,True,False,False,False,0.326319336298,False,False,True,0.519290123457,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,None,0.15,False,False,False,False,10,30,3,../inputs/liwc.dic,160,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
